Model,Sampler,Best_Params,Classification_Report
GradientBoosting,RandomUnderSampler,"{'classifier__learning_rate': 0.1, 'classifier__max_depth': 3, 'classifier__n_estimators': 50}","{'precision': 0.9571917808219178, 'recall': 0.8700389105058366, 'f1-score': 0.9115368935996739, 'support': 1285.0}"
GradientBoosting,RandomUnderSampler,"{'classifier__learning_rate': 0.1, 'classifier__max_depth': 3, 'classifier__n_estimators': 50}","{'precision': 0.29535864978902954, 'recall': 0.5833333333333334, 'f1-score': 0.39215686274509803, 'support': 120.0}"
GradientBoosting,RandomUnderSampler,"{'classifier__learning_rate': 0.1, 'classifier__max_depth': 3, 'classifier__n_estimators': 50}",0.8455516014234875
GradientBoosting,RandomUnderSampler,"{'classifier__learning_rate': 0.1, 'classifier__max_depth': 3, 'classifier__n_estimators': 50}","{'precision': 0.6262752153054737, 'recall': 0.726686121919585, 'f1-score': 0.651846878172386, 'support': 1405.0}"
GradientBoosting,RandomUnderSampler,"{'classifier__learning_rate': 0.1, 'classifier__max_depth': 3, 'classifier__n_estimators': 50}","{'precision': 0.9006651077087886, 'recall': 0.8455516014234875, 'f1-score': 0.8671770333131621, 'support': 1405.0}"
MLP,RandomUnderSampler,"{'classifier__activation': 'tanh', 'classifier__batch_size': 128, 'classifier__hidden_layer_sizes': (100,), 'classifier__learning_rate': 'invscaling', 'classifier__max_iter': 1000, 'classifier__solver': 'adam'}","{'precision': 0.9726775956284153, 'recall': 0.8311284046692607, 'f1-score': 0.8963491397398238, 'support': 1285.0}"
MLP,RandomUnderSampler,"{'classifier__activation': 'tanh', 'classifier__batch_size': 128, 'classifier__hidden_layer_sizes': (100,), 'classifier__learning_rate': 'invscaling', 'classifier__max_iter': 1000, 'classifier__solver': 'adam'}","{'precision': 0.2931596091205212, 'recall': 0.75, 'f1-score': 0.42154566744730676, 'support': 120.0}"
MLP,RandomUnderSampler,"{'classifier__activation': 'tanh', 'classifier__batch_size': 128, 'classifier__hidden_layer_sizes': (100,), 'classifier__learning_rate': 'invscaling', 'classifier__max_iter': 1000, 'classifier__solver': 'adam'}",0.8241992882562278
MLP,RandomUnderSampler,"{'classifier__activation': 'tanh', 'classifier__batch_size': 128, 'classifier__hidden_layer_sizes': (100,), 'classifier__learning_rate': 'invscaling', 'classifier__max_iter': 1000, 'classifier__solver': 'adam'}","{'precision': 0.6329186023744682, 'recall': 0.7905642023346304, 'f1-score': 0.6589474035935653, 'support': 1405.0}"
MLP,RandomUnderSampler,"{'classifier__activation': 'tanh', 'classifier__batch_size': 128, 'classifier__hidden_layer_sizes': (100,), 'classifier__learning_rate': 'invscaling', 'classifier__max_iter': 1000, 'classifier__solver': 'adam'}","{'precision': 0.9146404722256057, 'recall': 0.8241992882562278, 'f1-score': 0.8557965300066551, 'support': 1405.0}"
