Model,Sampler,Best_Params,Classification_Report
GradientBoosting,RandomUnderSampler,"{'classifier__learning_rate': 0.1, 'classifier__max_depth': 3, 'classifier__n_estimators': 200}","{'precision': 0.9833178869323448, 'recall': 0.8804979253112033, 'f1-score': 0.9290718038528897, 'support': 1205}"
GradientBoosting,RandomUnderSampler,"{'classifier__learning_rate': 0.1, 'classifier__max_depth': 3, 'classifier__n_estimators': 200}","{'precision': 0.558282208588957, 'recall': 0.91, 'f1-score': 0.6920152091254752, 'support': 200}"
GradientBoosting,RandomUnderSampler,"{'classifier__learning_rate': 0.1, 'classifier__max_depth': 3, 'classifier__n_estimators': 200}",0.8846975088967971
GradientBoosting,RandomUnderSampler,"{'classifier__learning_rate': 0.1, 'classifier__max_depth': 3, 'classifier__n_estimators': 200}","{'precision': 0.7708000477606509, 'recall': 0.8952489626556017, 'f1-score': 0.8105435064891824, 'support': 1405}"
GradientBoosting,RandomUnderSampler,"{'classifier__learning_rate': 0.1, 'classifier__max_depth': 3, 'classifier__n_estimators': 200}","{'precision': 0.9228145875240334, 'recall': 0.8846975088967971, 'f1-score': 0.8953270928596634, 'support': 1405}"
MLP,RandomUnderSampler,"{'classifier__activation': 'tanh', 'classifier__batch_size': 64, 'classifier__hidden_layer_sizes': (50, 50), 'classifier__learning_rate': 'constant', 'classifier__max_iter': 1000, 'classifier__solver': 'adam'}","{'precision': 0.9916434540389972, 'recall': 0.8863070539419087, 'f1-score': 0.9360210341805433, 'support': 1205}"
MLP,RandomUnderSampler,"{'classifier__activation': 'tanh', 'classifier__batch_size': 64, 'classifier__hidden_layer_sizes': (50, 50), 'classifier__learning_rate': 'constant', 'classifier__max_iter': 1000, 'classifier__solver': 'adam'}","{'precision': 0.5823170731707317, 'recall': 0.955, 'f1-score': 0.7234848484848485, 'support': 200}"
MLP,RandomUnderSampler,"{'classifier__activation': 'tanh', 'classifier__batch_size': 64, 'classifier__hidden_layer_sizes': (50, 50), 'classifier__learning_rate': 'constant', 'classifier__max_iter': 1000, 'classifier__solver': 'adam'}",0.896085409252669
MLP,RandomUnderSampler,"{'classifier__activation': 'tanh', 'classifier__batch_size': 64, 'classifier__hidden_layer_sizes': (50, 50), 'classifier__learning_rate': 'constant', 'classifier__max_iter': 1000, 'classifier__solver': 'adam'}","{'precision': 0.7869802636048644, 'recall': 0.9206535269709544, 'f1-score': 0.8297529413326958, 'support': 1405}"
MLP,RandomUnderSampler,"{'classifier__activation': 'tanh', 'classifier__batch_size': 64, 'classifier__hidden_layer_sizes': (50, 50), 'classifier__learning_rate': 'constant', 'classifier__max_iter': 1000, 'classifier__solver': 'adam'}","{'precision': 0.933376353559529, 'recall': 0.896085409252669, 'f1-score': 0.9057667728715476, 'support': 1405}"
