Model,Sampler,Parameters,Report
GradientBoosting,RandomUnderSampler,"{'classifier__learning_rate': 0.01, 'classifier__max_depth': 3, 'classifier__n_estimators': 50}","              precision    recall  f1-score   support

           0       1.00      0.88      0.94      5481
           1       0.15      0.84      0.26       135

    accuracy                           0.88      5616
   macro avg       0.57      0.86      0.60      5616
weighted avg       0.98      0.88      0.92      5616
"
GradientBoosting,RandomUnderSampler,"{'classifier__learning_rate': 0.01, 'classifier__max_depth': 3, 'classifier__n_estimators': 100}","              precision    recall  f1-score   support

           0       1.00      0.88      0.94      5481
           1       0.15      0.84      0.26       135

    accuracy                           0.88      5616
   macro avg       0.57      0.86      0.60      5616
weighted avg       0.98      0.88      0.92      5616
"
GradientBoosting,RandomUnderSampler,"{'classifier__learning_rate': 0.01, 'classifier__max_depth': 3, 'classifier__n_estimators': 200}","              precision    recall  f1-score   support

           0       1.00      0.89      0.94      5481
           1       0.16      0.88      0.28       135

    accuracy                           0.89      5616
   macro avg       0.58      0.89      0.61      5616
weighted avg       0.98      0.89      0.92      5616
"
GradientBoosting,RandomUnderSampler,"{'classifier__learning_rate': 0.01, 'classifier__max_depth': 5, 'classifier__n_estimators': 50}","              precision    recall  f1-score   support

           0       1.00      0.87      0.93      5481
           1       0.14      0.86      0.25       135

    accuracy                           0.87      5616
   macro avg       0.57      0.87      0.59      5616
weighted avg       0.98      0.87      0.91      5616
"
GradientBoosting,RandomUnderSampler,"{'classifier__learning_rate': 0.01, 'classifier__max_depth': 5, 'classifier__n_estimators': 100}","              precision    recall  f1-score   support

           0       1.00      0.88      0.94      5481
           1       0.16      0.88      0.27       135

    accuracy                           0.88      5616
   macro avg       0.58      0.88      0.60      5616
weighted avg       0.98      0.88      0.92      5616
"
GradientBoosting,RandomUnderSampler,"{'classifier__learning_rate': 0.01, 'classifier__max_depth': 5, 'classifier__n_estimators': 200}","              precision    recall  f1-score   support

           0       1.00      0.89      0.94      5481
           1       0.16      0.84      0.27       135

    accuracy                           0.89      5616
   macro avg       0.58      0.86      0.60      5616
weighted avg       0.98      0.89      0.92      5616
"
GradientBoosting,RandomUnderSampler,"{'classifier__learning_rate': 0.01, 'classifier__max_depth': 7, 'classifier__n_estimators': 50}","              precision    recall  f1-score   support

           0       1.00      0.90      0.94      5481
           1       0.17      0.86      0.28       135

    accuracy                           0.90      5616
   macro avg       0.58      0.88      0.61      5616
weighted avg       0.98      0.90      0.93      5616
"
GradientBoosting,RandomUnderSampler,"{'classifier__learning_rate': 0.01, 'classifier__max_depth': 7, 'classifier__n_estimators': 100}","              precision    recall  f1-score   support

           0       1.00      0.87      0.93      5481
           1       0.14      0.87      0.25       135

    accuracy                           0.87      5616
   macro avg       0.57      0.87      0.59      5616
weighted avg       0.98      0.87      0.91      5616
"
GradientBoosting,RandomUnderSampler,"{'classifier__learning_rate': 0.01, 'classifier__max_depth': 7, 'classifier__n_estimators': 200}","              precision    recall  f1-score   support

           0       1.00      0.88      0.93      5481
           1       0.15      0.85      0.25       135

    accuracy                           0.88      5616
   macro avg       0.57      0.87      0.59      5616
weighted avg       0.98      0.88      0.92      5616
"
GradientBoosting,RandomUnderSampler,"{'classifier__learning_rate': 0.1, 'classifier__max_depth': 3, 'classifier__n_estimators': 50}","              precision    recall  f1-score   support

           0       1.00      0.89      0.94      5481
           1       0.16      0.84      0.26       135

    accuracy                           0.89      5616
   macro avg       0.58      0.87      0.60      5616
weighted avg       0.98      0.89      0.92      5616
"
