Model,Sampler,Parameters,Report
MLP,RandomUnderSampler,"{'classifier__activation': 'relu', 'classifier__alpha': 0.0001, 'classifier__batch_size': 32, 'classifier__early_stopping': True, 'classifier__hidden_layer_sizes': (50,), 'classifier__learning_rate': 'constant', 'classifier__max_iter': 2000, 'classifier__solver': 'adam'}","              precision    recall  f1-score   support

           0       0.99      0.99      0.99      5481
           1       0.46      0.43      0.45       135

    accuracy                           0.97      5616
   macro avg       0.72      0.71      0.72      5616
weighted avg       0.97      0.97      0.97      5616
"
MLP,RandomUnderSampler,"{'classifier__activation': 'relu', 'classifier__alpha': 0.0001, 'classifier__batch_size': 32, 'classifier__early_stopping': True, 'classifier__hidden_layer_sizes': (50,), 'classifier__learning_rate': 'constant', 'classifier__max_iter': 2000, 'classifier__solver': 'sgd'}","              precision    recall  f1-score   support

           0       0.99      0.99      0.99      5481
           1       0.48      0.43      0.45       135

    accuracy                           0.98      5616
   macro avg       0.73      0.71      0.72      5616
weighted avg       0.97      0.98      0.97      5616
"
MLP,RandomUnderSampler,"{'classifier__activation': 'relu', 'classifier__alpha': 0.0001, 'classifier__batch_size': 32, 'classifier__early_stopping': True, 'classifier__hidden_layer_sizes': (50,), 'classifier__learning_rate': 'invscaling', 'classifier__max_iter': 2000, 'classifier__solver': 'adam'}","              precision    recall  f1-score   support

           0       0.99      0.99      0.99      5481
           1       0.48      0.43      0.45       135

    accuracy                           0.98      5616
   macro avg       0.73      0.71      0.72      5616
weighted avg       0.97      0.98      0.97      5616
"
MLP,RandomUnderSampler,"{'classifier__activation': 'relu', 'classifier__alpha': 0.0001, 'classifier__batch_size': 32, 'classifier__early_stopping': True, 'classifier__hidden_layer_sizes': (50,), 'classifier__learning_rate': 'invscaling', 'classifier__max_iter': 2000, 'classifier__solver': 'sgd'}","              precision    recall  f1-score   support

           0       0.99      0.99      0.99      5481
           1       0.48      0.44      0.46       135

    accuracy                           0.98      5616
   macro avg       0.73      0.71      0.72      5616
weighted avg       0.97      0.98      0.97      5616
"
MLP,RandomUnderSampler,"{'classifier__activation': 'relu', 'classifier__alpha': 0.0001, 'classifier__batch_size': 32, 'classifier__early_stopping': True, 'classifier__hidden_layer_sizes': (50,), 'classifier__learning_rate': 'adaptive', 'classifier__max_iter': 2000, 'classifier__solver': 'adam'}","              precision    recall  f1-score   support

           0       0.99      0.99      0.99      5481
           1       0.49      0.43      0.46       135

    accuracy                           0.98      5616
   macro avg       0.74      0.71      0.72      5616
weighted avg       0.97      0.98      0.97      5616
"
MLP,RandomUnderSampler,"{'classifier__activation': 'relu', 'classifier__alpha': 0.0001, 'classifier__batch_size': 32, 'classifier__early_stopping': True, 'classifier__hidden_layer_sizes': (50,), 'classifier__learning_rate': 'adaptive', 'classifier__max_iter': 2000, 'classifier__solver': 'sgd'}","              precision    recall  f1-score   support

           0       0.99      0.99      0.99      5481
           1       0.49      0.44      0.46       135

    accuracy                           0.98      5616
   macro avg       0.74      0.71      0.72      5616
weighted avg       0.97      0.98      0.97      5616
"
MLP,RandomUnderSampler,"{'classifier__activation': 'relu', 'classifier__alpha': 0.0001, 'classifier__batch_size': 32, 'classifier__early_stopping': True, 'classifier__hidden_layer_sizes': (100,), 'classifier__learning_rate': 'constant', 'classifier__max_iter': 2000, 'classifier__solver': 'adam'}","              precision    recall  f1-score   support

           0       0.99      0.99      0.99      5481
           1       0.48      0.43      0.45       135

    accuracy                           0.98      5616
   macro avg       0.73      0.71      0.72      5616
weighted avg       0.97      0.98      0.97      5616
"
MLP,RandomUnderSampler,"{'classifier__activation': 'relu', 'classifier__alpha': 0.0001, 'classifier__batch_size': 32, 'classifier__early_stopping': True, 'classifier__hidden_layer_sizes': (100,), 'classifier__learning_rate': 'constant', 'classifier__max_iter': 2000, 'classifier__solver': 'sgd'}","              precision    recall  f1-score   support

           0       0.99      0.99      0.99      5481
           1       0.48      0.43      0.45       135

    accuracy                           0.98      5616
   macro avg       0.73      0.71      0.72      5616
weighted avg       0.97      0.98      0.97      5616
"
MLP,RandomUnderSampler,"{'classifier__activation': 'relu', 'classifier__alpha': 0.0001, 'classifier__batch_size': 32, 'classifier__early_stopping': True, 'classifier__hidden_layer_sizes': (100,), 'classifier__learning_rate': 'invscaling', 'classifier__max_iter': 2000, 'classifier__solver': 'adam'}","              precision    recall  f1-score   support

           0       0.99      0.99      0.99      5481
           1       0.49      0.43      0.46       135

    accuracy                           0.98      5616
   macro avg       0.74      0.71      0.72      5616
weighted avg       0.97      0.98      0.97      5616
"
MLP,RandomUnderSampler,"{'classifier__activation': 'relu', 'classifier__alpha': 0.0001, 'classifier__batch_size': 32, 'classifier__early_stopping': True, 'classifier__hidden_layer_sizes': (100,), 'classifier__learning_rate': 'invscaling', 'classifier__max_iter': 2000, 'classifier__solver': 'sgd'}","              precision    recall  f1-score   support

           0       0.99      0.99      0.99      5481
           1       0.47      0.43      0.45       135

    accuracy                           0.97      5616
   macro avg       0.73      0.71      0.72      5616
weighted avg       0.97      0.97      0.97      5616
"
