Model,Sampler,Best_Params,Classification_Report
GradientBoosting,RandomUnderSampler,"{'classifier__learning_rate': 0.1, 'classifier__max_depth': 3, 'classifier__n_estimators': 50}","{'precision': 0.9968602825745683, 'recall': 0.918293564714389, 'f1-score': 0.9559653744824991, 'support': 1383}"
GradientBoosting,RandomUnderSampler,"{'classifier__learning_rate': 0.1, 'classifier__max_depth': 3, 'classifier__n_estimators': 50}","{'precision': 0.13740458015267176, 'recall': 0.8181818181818182, 'f1-score': 0.23529411764705885, 'support': 22}"
GradientBoosting,RandomUnderSampler,"{'classifier__learning_rate': 0.1, 'classifier__max_depth': 3, 'classifier__n_estimators': 50}",0.9167259786476868
GradientBoosting,RandomUnderSampler,"{'classifier__learning_rate': 0.1, 'classifier__max_depth': 3, 'classifier__n_estimators': 50}","{'precision': 0.56713243136362, 'recall': 0.8682376914481036, 'f1-score': 0.5956297460647789, 'support': 1405}"
GradientBoosting,RandomUnderSampler,"{'classifier__learning_rate': 0.1, 'classifier__max_depth': 3, 'classifier__n_estimators': 50}","{'precision': 0.983402613212802, 'recall': 0.9167259786476868, 'f1-score': 0.9446808423469976, 'support': 1405}"
MLP,RandomUnderSampler,"{'classifier__activation': 'tanh', 'classifier__alpha': 0.01, 'classifier__batch_size': 32, 'classifier__early_stopping': False, 'classifier__hidden_layer_sizes': (50,), 'classifier__learning_rate': 'invscaling', 'classifier__max_iter': 2000, 'classifier__solver': 'sgd'}","{'precision': 0.98989898989899, 'recall': 0.9920462762111352, 'f1-score': 0.9909714698447093, 'support': 1383}"
MLP,RandomUnderSampler,"{'classifier__activation': 'tanh', 'classifier__alpha': 0.01, 'classifier__batch_size': 32, 'classifier__early_stopping': False, 'classifier__hidden_layer_sizes': (50,), 'classifier__learning_rate': 'invscaling', 'classifier__max_iter': 2000, 'classifier__solver': 'sgd'}","{'precision': 0.42105263157894735, 'recall': 0.36363636363636365, 'f1-score': 0.3902439024390244, 'support': 22}"
MLP,RandomUnderSampler,"{'classifier__activation': 'tanh', 'classifier__alpha': 0.01, 'classifier__batch_size': 32, 'classifier__early_stopping': False, 'classifier__hidden_layer_sizes': (50,), 'classifier__learning_rate': 'invscaling', 'classifier__max_iter': 2000, 'classifier__solver': 'sgd'}",0.9822064056939501
MLP,RandomUnderSampler,"{'classifier__activation': 'tanh', 'classifier__alpha': 0.01, 'classifier__batch_size': 32, 'classifier__early_stopping': False, 'classifier__hidden_layer_sizes': (50,), 'classifier__learning_rate': 'invscaling', 'classifier__max_iter': 2000, 'classifier__solver': 'sgd'}","{'precision': 0.7054758107389687, 'recall': 0.6778413199237494, 'f1-score': 0.6906076861418668, 'support': 1405}"
MLP,RandomUnderSampler,"{'classifier__activation': 'tanh', 'classifier__alpha': 0.01, 'classifier__batch_size': 32, 'classifier__early_stopping': False, 'classifier__hidden_layer_sizes': (50,), 'classifier__learning_rate': 'invscaling', 'classifier__max_iter': 2000, 'classifier__solver': 'sgd'}","{'precision': 0.9809917871352597, 'recall': 0.9822064056939501, 'f1-score': 0.9815650595365776, 'support': 1405}"
