Model,Sampler,Best_Params,Classification_Report
GradientBoosting,RandomUnderSampler,"{'classifier__learning_rate': 0.1, 'classifier__max_depth': 3, 'classifier__n_estimators': 50}","{'precision': 0.9789603960396039, 'recall': 0.6038167938931298, 'f1-score': 0.7469310670443815, 'support': 1310.0}"
GradientBoosting,RandomUnderSampler,"{'classifier__learning_rate': 0.1, 'classifier__max_depth': 3, 'classifier__n_estimators': 50}","{'precision': 0.1306532663316583, 'recall': 0.8210526315789474, 'f1-score': 0.2254335260115607, 'support': 95.0}"
GradientBoosting,RandomUnderSampler,"{'classifier__learning_rate': 0.1, 'classifier__max_depth': 3, 'classifier__n_estimators': 50}",0.6185053380782918
GradientBoosting,RandomUnderSampler,"{'classifier__learning_rate': 0.1, 'classifier__max_depth': 3, 'classifier__n_estimators': 50}","{'precision': 0.5548068311856311, 'recall': 0.7124347127360386, 'f1-score': 0.48618229652797107, 'support': 1405.0}"
GradientBoosting,RandomUnderSampler,"{'classifier__learning_rate': 0.1, 'classifier__max_depth': 3, 'classifier__n_estimators': 50}","{'precision': 0.9216015509703834, 'recall': 0.6185053380782918, 'f1-score': 0.7116696674727673, 'support': 1405.0}"
MLP,RandomUnderSampler,"{'classifier__activation': 'tanh', 'classifier__batch_size': 128, 'classifier__hidden_layer_sizes': (100,), 'classifier__learning_rate': 'adaptive', 'classifier__max_iter': 1000, 'classifier__solver': 'adam'}","{'precision': 0.9756394640682094, 'recall': 0.6114503816793894, 'f1-score': 0.7517597372125763, 'support': 1310.0}"
MLP,RandomUnderSampler,"{'classifier__activation': 'tanh', 'classifier__batch_size': 128, 'classifier__hidden_layer_sizes': (100,), 'classifier__learning_rate': 'adaptive', 'classifier__max_iter': 1000, 'classifier__solver': 'adam'}","{'precision': 0.1284246575342466, 'recall': 0.7894736842105263, 'f1-score': 0.22091310751104568, 'support': 95.0}"
MLP,RandomUnderSampler,"{'classifier__activation': 'tanh', 'classifier__batch_size': 128, 'classifier__hidden_layer_sizes': (100,), 'classifier__learning_rate': 'adaptive', 'classifier__max_iter': 1000, 'classifier__solver': 'adam'}",0.6234875444839858
MLP,RandomUnderSampler,"{'classifier__activation': 'tanh', 'classifier__batch_size': 128, 'classifier__hidden_layer_sizes': (100,), 'classifier__learning_rate': 'adaptive', 'classifier__max_iter': 1000, 'classifier__solver': 'adam'}","{'precision': 0.552032060801228, 'recall': 0.7004620329449578, 'f1-score': 0.48633642236181096, 'support': 1405.0}"
MLP,RandomUnderSampler,"{'classifier__activation': 'tanh', 'classifier__batch_size': 128, 'classifier__hidden_layer_sizes': (100,), 'classifier__learning_rate': 'adaptive', 'classifier__max_iter': 1000, 'classifier__solver': 'adam'}","{'precision': 0.918354477149543, 'recall': 0.6234875444839858, 'f1-score': 0.7158661928555333, 'support': 1405.0}"
